Date,Committee,Number of utterances made by the committees per month
"=""12-2010""",102,219
"=""12-2011""",102,1475
"=""12-2012""",102,175
"=""01-1995""",104,0
"=""01-1996""",104,0
"=""01-1997""",104,0
"=""01-1998""",104,3294
"=""01-1999""",104,0
"=""01-2000""",104,1120
"=""01-2001""",104,0
"=""01-2002""",104,0
"=""01-2003""",104,0
"=""01-2004""",104,0
"=""01-2005""",104,0
"=""01-2006""",104,0
"=""01-2007""",104,0
"=""01-2008""",104,508
"=""01-2009""",104,0
"=""01-2010""",104,464
"=""01-2011""",104,0
"=""01-2012""",104,0
"=""02-1995""",104,0
"=""02-1996""",104,0
"=""02-1997""",104,11115
"=""02-1998""",104,14283
"=""02-1999""",104,11073
"=""02-2000""",104,9100
"=""02-2001""",104,0
"=""02-2002""",104,6173
"=""02-2003""",104,271
"=""02-2004""",104,0
"=""02-2005""",104,0
"=""02-2006""",104,0
"=""02-2007""",104,0
"=""02-2008""",104,12810
"=""02-2009""",104,3111
"=""02-2010""",104,8169
"=""02-2011""",104,3040
"=""02-2012""",104,3111
"=""03-1995""",104,0
"=""03-1996""",104,0
"=""03-1997""",104,24353
"=""03-1998""",104,22531
"=""03-1999""",104,11537
"=""03-2000""",104,15233
"=""03-2001""",104,10681
"=""03-2002""",104,9595
"=""03-2003""",104,2695
"=""03-2004""",104,0
"=""03-2005""",104,0
"=""03-2006""",104,0
"=""03-2007""",104,0
"=""03-2008""",104,6792
"=""03-2009""",104,8852
"=""03-2010""",104,10363
"=""03-2011""",104,10353
"=""03-2012""",104,7493
"=""04-1995""",104,0
"=""04-1996""",104,0
"=""04-1997""",104,4908
"=""04-1998""",104,2135
"=""04-1999""",104,8779
"=""04-2000""",104,6415
"=""04-2001""",104,3397
"=""04-2002""",104,4008
"=""04-2003""",104,1950
"=""04-2004""",104,0
"=""04-2005""",104,0
"=""04-2006""",104,0
"=""04-2007""",104,0
"=""04-2008""",104,2024
"=""04-2009""",104,2505
"=""04-2010""",104,891
"=""04-2011""",104,1600
"=""04-2012""",104,0
"=""05-1995""",104,0
"=""05-1996""",104,0
"=""05-1997""",104,0
"=""05-1998""",104,127
"=""05-1999""",104,0
"=""05-2000""",104,0
"=""05-2001""",104,4562
"=""05-2002""",104,675
"=""05-2003""",104,0
"=""05-2004""",104,0
"=""05-2005""",104,0
"=""05-2006""",104,0
"=""05-2007""",104,0
"=""05-2008""",104,0
"=""05-2009""",104,2043
"=""05-2010""",104,476
"=""05-2011""",104,0
"=""05-2012""",104,0
"=""06-1995""",104,0
"=""06-1996""",104,0
"=""06-1997""",104,0
"=""06-1998""",104,0
"=""06-1999""",104,0
"=""06-2000""",104,0
"=""06-2001""",104,594
"=""06-2002""",104,0
"=""06-2003""",104,271
"=""06-2004""",104,0
"=""06-2005""",104,0
"=""06-2006""",104,0
"=""06-2007""",104,0
"=""06-2008""",104,0
"=""06-2009""",104,1256
"=""06-2010""",104,0
"=""06-2011""",104,0
"=""06-2012""",104,0
"=""07-1995""",104,0
"=""07-1996""",104,0
"=""07-1997""",104,0
"=""07-1998""",104,0
"=""07-1999""",104,0
"=""07-2000""",104,0
"=""07-2001""",104,0
"=""07-2002""",104,0
"=""07-2003""",104,0
"=""07-2004""",104,0
"=""07-2005""",104,217
"=""07-2006""",104,0
"=""07-2007""",104,0
"=""07-2008""",104,0
"=""07-2009""",104,147
"=""07-2010""",104,0
"=""07-2011""",104,0
"=""07-2012""",104,142
"=""08-1995""",104,0
"=""08-1996""",104,0
"=""08-1997""",104,0
"=""08-1998""",104,0
"=""08-1999""",104,0
"=""08-2000""",104,0
"=""08-2001""",104,0
"=""08-2002""",104,0
"=""08-2003""",104,0
"=""08-2004""",104,0
"=""08-2005""",104,0
"=""08-2006""",104,0
"=""08-2007""",104,0
"=""08-2008""",104,0
"=""08-2009""",104,0
"=""08-2010""",104,0
"=""08-2011""",104,0
"=""08-2012""",104,0
"=""09-1995""",104,0
"=""09-1996""",104,0
"=""09-1997""",104,0
"=""09-1998""",104,0
"=""09-1999""",104,0
"=""09-2000""",104,0
"=""09-2001""",104,0
"=""09-2002""",104,0
"=""09-2003""",104,774
"=""09-2004""",104,0
"=""09-2005""",104,0
"=""09-2006""",104,0
"=""09-2007""",104,158
"=""09-2008""",104,194
"=""09-2009""",104,0
"=""09-2010""",104,0
"=""09-2011""",104,0
"=""09-2012""",104,0
"=""10-1995""",104,0
"=""10-1996""",104,0
"=""10-1997""",104,729
"=""10-1998""",104,0
"=""10-1999""",104,371
"=""10-2000""",104,369
"=""10-2001""",104,0
"=""10-2002""",104,0
"=""10-2003""",104,0
"=""10-2004""",104,0
"=""10-2005""",104,0
"=""10-2006""",104,0
"=""10-2007""",104,0
"=""10-2008""",104,0
"=""10-2009""",104,0
"=""10-2010""",104,0
"=""10-2011""",104,0
"=""10-2012""",104,0
"=""11-1995""",104,0
"=""11-1996""",104,0
"=""11-1997""",104,320
"=""11-1998""",104,0
"=""11-1999""",104,0
"=""11-2000""",104,0
"=""11-2001""",104,0
"=""11-2002""",104,0
"=""11-2003""",104,0
"=""11-2004""",104,0
"=""11-2005""",104,0
"=""11-2006""",104,0
"=""11-2007""",104,0
"=""11-2008""",104,0
"=""11-2009""",104,548
"=""11-2010""",104,0
"=""11-2011""",104,0
"=""11-2012""",104,0
"=""12-1995""",104,0
"=""12-1996""",104,0
"=""12-1997""",104,0
"=""12-1998""",104,0
"=""12-1999""",104,0
"=""12-2000""",104,0
"=""12-2001""",104,715
"=""12-2002""",104,0
"=""12-2003""",104,0
"=""12-2004""",104,0
"=""12-2005""",104,0
"=""12-2006""",104,0
"=""12-2007""",104,0
"=""12-2008""",104,284
"=""12-2009""",104,196
"=""12-2010""",104,0
"=""12-2011""",104,0
"=""12-2012""",104,0
"=""01-1995""",106,0
"=""01-1996""",106,0
"=""01-1997""",106,0
"=""01-1998""",106,0
"=""01-1999""",106,0
"=""01-2000""",106,0
"=""01-2001""",106,0
"=""01-2002""",106,0
"=""01-2003""",106,0
"=""01-2004""",106,0
"=""01-2005""",106,0
"=""01-2006""",106,0
"=""01-2007""",106,3237
"=""01-2008""",106,250
"=""01-2009""",106,675
"=""01-2010""",106,955
"=""01-2011""",106,308
"=""01-2012""",106,464
"=""02-1995""",106,0
"=""02-1996""",106,0
"=""02-1997""",106,0
"=""02-1998""",106,0
"=""02-1999""",106,0
"=""02-2000""",106,475
"=""02-2001""",106,0
"=""02-2002""",106,0
"=""02-2003""",106,0
"=""02-2004""",106,0
"=""02-2005""",106,0
"=""02-2006""",106,0
"=""02-2007""",106,2252
"=""02-2008""",106,2005
"=""02-2009""",106,1291
"=""02-2010""",106,1621
"=""02-2011""",106,779
"=""02-2012""",106,1994
"=""03-1995""",106,0
"=""03-1996""",106,0
"=""03-1997""",106,0
"=""03-1998""",106,0
"=""03-1999""",106,0
"=""03-2000""",106,0
"=""03-2001""",106,0
"=""03-2002""",106,0
"=""03-2003""",106,0
"=""03-2004""",106,0
"=""03-2005""",106,490
"=""03-2006""",106,1955
"=""03-2007""",106,5709
"=""03-2008""",106,2600
"=""03-2009""",106,3354
"=""03-2010""",106,3131
"=""03-2011""",106,3693
"=""03-2012""",106,2935
"=""04-1995""",106,0
"=""04-1996""",106,0
"=""04-1997""",106,0
"=""04-1998""",106,0
"=""04-1999""",106,0
"=""04-2000""",106,0
"=""04-2001""",106,0
"=""04-2002""",106,0
"=""04-2003""",106,0
"=""04-2004""",106,0
"=""04-2005""",106,308
"=""04-2006""",106,1198
"=""04-2007""",106,889
"=""04-2008""",106,2244
"=""04-2009""",106,2043
"=""04-2010""",106,1585
"=""04-2011""",106,1796
"=""04-2012""",106,575
"=""05-1995""",106,0
"=""05-1996""",106,0
"=""05-1997""",106,0
"=""05-1998""",106,0
"=""05-1999""",106,0
"=""05-2000""",106,0
"=""05-2001""",106,0
"=""05-2002""",106,0
"=""05-2003""",106,0
"=""05-2004""",106,0
"=""05-2005""",106,311
"=""05-2006""",106,113
"=""05-2007""",106,344
"=""05-2008""",106,0
"=""05-2009""",106,3454
"=""05-2010""",106,233
"=""05-2011""",106,0
"=""05-2012""",106,0
"=""06-1995""",106,0
"=""06-1996""",106,0
"=""06-1997""",106,0
"=""06-1998""",106,0
"=""06-1999""",106,0
"=""06-2000""",106,0
"=""06-2001""",106,0
"=""06-2002""",106,0
"=""06-2003""",106,0
"=""06-2004""",106,0
"=""06-2005""",106,188
"=""06-2006""",106,1275
"=""06-2007""",106,998
"=""06-2008""",106,0
"=""06-2009""",106,561
"=""06-2010""",106,812
"=""06-2011""",106,503
"=""06-2012""",106,563
"=""07-1995""",106,0
"=""07-1996""",106,0
"=""07-1997""",106,0
"=""07-1998""",106,0
"=""07-1999""",106,0
"=""07-2000""",106,0
"=""07-2001""",106,0
"=""07-2002""",106,0
