Date,Committee,Number of utterances made by the committees per month
"=""04-1997""",156,0
"=""04-1998""",156,0
"=""04-1999""",156,0
"=""04-2000""",156,0
"=""04-2001""",156,0
"=""04-2002""",156,0
"=""04-2003""",156,990
"=""04-2004""",156,707
"=""04-2005""",156,2658
"=""04-2006""",156,1395
"=""04-2007""",156,2119
"=""04-2008""",156,3023
"=""04-2009""",156,1188
"=""04-2010""",156,1397
"=""04-2011""",156,828
"=""04-2012""",156,765
"=""05-1995""",156,0
"=""05-1996""",156,0
"=""05-1997""",156,0
"=""05-1998""",156,0
"=""05-1999""",156,0
"=""05-2000""",156,0
"=""05-2001""",156,0
"=""05-2002""",156,0
"=""05-2003""",156,987
"=""05-2004""",156,964
"=""05-2005""",156,1817
"=""05-2006""",156,1193
"=""05-2007""",156,5035
"=""05-2008""",156,2764
"=""05-2009""",156,1748
"=""05-2010""",156,2098
"=""05-2011""",156,2267
"=""05-2012""",156,1383
"=""06-1995""",156,0
"=""06-1996""",156,0
"=""06-1997""",156,0
"=""06-1998""",156,0
"=""06-1999""",156,0
"=""06-2000""",156,0
"=""06-2001""",156,0
"=""06-2002""",156,0
"=""06-2003""",156,403
"=""06-2004""",156,964
"=""06-2005""",156,2174
"=""06-2006""",156,1245
"=""06-2007""",156,3734
"=""06-2008""",156,4572
"=""06-2009""",156,1601
"=""06-2010""",156,1912
"=""06-2011""",156,922
"=""06-2012""",156,1477
"=""07-1995""",156,0
"=""07-1996""",156,0
"=""07-1997""",156,0
"=""07-1998""",156,0
"=""07-1999""",156,0
"=""07-2000""",156,0
"=""07-2001""",156,0
"=""07-2002""",156,0
"=""07-2003""",156,550
"=""07-2004""",156,882
"=""07-2005""",156,617
"=""07-2006""",156,891
"=""07-2007""",156,2698
"=""07-2008""",156,3267
"=""07-2009""",156,3361
"=""07-2010""",156,1464
"=""07-2011""",156,696
"=""07-2012""",156,2087
"=""08-1995""",156,0
"=""08-1996""",156,0
"=""08-1997""",156,0
"=""08-1998""",156,0
"=""08-1999""",156,0
"=""08-2000""",156,0
"=""08-2001""",156,0
"=""08-2002""",156,0
"=""08-2003""",156,0
"=""08-2004""",156,381
"=""08-2005""",156,0
"=""08-2006""",156,670
"=""08-2007""",156,0
"=""08-2008""",156,0
"=""08-2009""",156,0
"=""08-2010""",156,0
"=""08-2011""",156,0
"=""08-2012""",156,438
"=""09-1995""",156,0
"=""09-1996""",156,0
"=""09-1997""",156,0
"=""09-1998""",156,0
"=""09-1999""",156,0
"=""09-2000""",156,0
"=""09-2001""",156,0
"=""09-2002""",156,0
"=""09-2003""",156,0
"=""09-2004""",156,818
"=""09-2005""",156,963
"=""09-2006""",156,1542
"=""09-2007""",156,2150
"=""09-2008""",156,1597
"=""09-2009""",156,1331
"=""09-2010""",156,1441
"=""09-2011""",156,1029
"=""09-2012""",156,379
"=""10-1995""",156,0
"=""10-1996""",156,0
"=""10-1997""",156,0
"=""10-1998""",156,0
"=""10-1999""",156,0
"=""10-2000""",156,0
"=""10-2001""",156,0
"=""10-2002""",156,0
"=""10-2003""",156,0
"=""10-2004""",156,171
"=""10-2005""",156,750
"=""10-2006""",156,0
"=""10-2007""",156,2926
"=""10-2008""",156,287
"=""10-2009""",156,1038
"=""10-2010""",156,0
"=""10-2011""",156,2698
"=""10-2012""",156,0
"=""11-1995""",156,0
"=""11-1996""",156,0
"=""11-1997""",156,0
"=""11-1998""",156,172
"=""11-1999""",156,95
"=""11-2000""",156,0
"=""11-2001""",156,0
"=""11-2002""",156,0
"=""11-2003""",156,236
"=""11-2004""",156,142
"=""11-2005""",156,2010
"=""11-2006""",156,228
"=""11-2007""",156,1305
"=""11-2008""",156,0
"=""11-2009""",156,3111
"=""11-2010""",156,208
"=""11-2011""",156,1217
"=""11-2012""",156,224
"=""12-1995""",156,0
"=""12-1996""",156,0
"=""12-1997""",156,0
"=""12-1998""",156,3097
"=""12-1999""",156,0
"=""12-2000""",156,0
"=""12-2001""",156,0
"=""12-2002""",156,0
"=""12-2003""",156,0
"=""12-2004""",156,0
"=""12-2005""",156,160
"=""12-2006""",156,270
"=""12-2007""",156,1214
"=""12-2008""",156,0
"=""12-2009""",156,3335
"=""12-2010""",156,885
"=""12-2011""",156,1413
"=""12-2012""",156,0
"=""01-1995""",164,0
"=""01-1996""",164,0
"=""01-1997""",164,1304
"=""01-1998""",164,174
"=""01-1999""",164,162
"=""01-2000""",164,249
"=""01-2001""",164,0
"=""01-2002""",164,550
"=""01-2003""",164,430
"=""01-2004""",164,0
"=""01-2005""",164,0
"=""01-2006""",164,0
"=""01-2007""",164,0
"=""01-2008""",164,0
"=""01-2009""",164,0
"=""01-2010""",164,289
"=""01-2011""",164,280
"=""01-2012""",164,244
"=""02-1995""",164,0
"=""02-1996""",164,0
"=""02-1997""",164,745
"=""02-1998""",164,886
"=""02-1999""",164,1474
"=""02-2000""",164,299
"=""02-2001""",164,0
"=""02-2002""",164,1549
"=""02-2003""",164,247
"=""02-2004""",164,476
"=""02-2005""",164,562
"=""02-2006""",164,655
"=""02-2007""",164,1513
"=""02-2008""",164,1141
"=""02-2009""",164,1506
"=""02-2010""",164,136
"=""02-2011""",164,0
"=""02-2012""",164,1652
"=""03-1995""",164,0
"=""03-1996""",164,0
"=""03-1997""",164,2348
"=""03-1998""",164,1829
"=""03-1999""",164,2186
"=""03-2000""",164,900
"=""03-2001""",164,3212
"=""03-2002""",164,2233
"=""03-2003""",164,1488
"=""03-2004""",164,567
"=""03-2005""",164,463
"=""03-2006""",164,851
"=""03-2007""",164,1474
"=""03-2008""",164,638
"=""03-2009""",164,1803
"=""03-2010""",164,632
"=""03-2011""",164,4340
"=""03-2012""",164,1435
"=""04-1995""",164,0
"=""04-1996""",164,0
"=""04-1997""",164,2673
"=""04-1998""",164,555
"=""04-1999""",164,1088
"=""04-2000""",164,785
"=""04-2001""",164,2036
"=""04-2002""",164,1647
"=""04-2003""",164,1215
"=""04-2004""",164,1535
"=""04-2005""",164,789
"=""04-2006""",164,1186
"=""04-2007""",164,2110
"=""04-2008""",164,901
"=""04-2009""",164,749
"=""04-2010""",164,715
"=""04-2011""",164,2032
"=""04-2012""",164,427
"=""05-1995""",164,0
"=""05-1996""",164,0
"=""05-1997""",164,1639
"=""05-1998""",164,948
"=""05-1999""",164,1994
"=""05-2000""",164,2262
"=""05-2001""",164,2246
"=""05-2002""",164,2100
"=""05-2003""",164,1155
"=""05-2004""",164,294
"=""05-2005""",164,1038
"=""05-2006""",164,758
"=""05-2007""",164,2114
"=""05-2008""",164,928
"=""05-2009""",164,610
"=""05-2010""",164,1131
"=""05-2011""",164,1901
"=""05-2012""",164,783
"=""06-1995""",164,0
"=""06-1996""",164,0
"=""06-1997""",164,1985
"=""06-1998""",164,1139
"=""06-1999""",164,750
"=""06-2000""",164,0
"=""06-2001""",164,1522
"=""06-2002""",164,2747
"=""06-2003""",164,2190
"=""06-2004""",164,1176
"=""06-2005""",164,1203
"=""06-2006""",164,701
"=""06-2007""",164,1298
"=""06-2008""",164,1133
"=""06-2009""",164,1318
"=""06-2010""",164,1824
"=""06-2011""",164,2177
"=""06-2012""",164,1167
"=""07-1995""",164,0
"=""07-1996""",164,0
"=""07-1997""",164,1699
"=""07-1998""",164,2583
"=""07-1999""",164,1420
"=""07-2000""",164,0
"=""07-2001""",164,2252
"=""07-2002""",164,2251
"=""07-2003""",164,2246
"=""07-2004""",164,1035
"=""07-2005""",164,734
"=""07-2006""",164,218
"=""07-2007""",164,1969
"=""07-2008""",164,397
"=""07-2009""",164,1231
"=""07-2010""",164,388
"=""07-2011""",164,2004
"=""07-2012""",164,1091
"=""08-1995""",164,0
"=""08-1996""",164,0
"=""08-1997""",164,0
"=""08-1998""",164,765
"=""08-1999""",164,555
"=""08-2000""",164,0
"=""08-2001""",164,86
"=""08-2002""",164,0
"=""08-2003""",164,460
"=""08-2004""",164,0
"=""08-2005""",164,234
"=""08-2006""",164,534
"=""08-2007""",164,795
"=""08-2008""",164,0
"=""08-2009""",164,0
"=""08-2010""",164,0
"=""08-2011""",164,168
"=""08-2012""",164,984
"=""09-1995""",164,0
"=""09-1996""",164,0
"=""09-1997""",164,3203
"=""09-1998""",164,1330
"=""09-1999""",164,1878
"=""09-2000""",164,0
"=""09-2001""",164,693
"=""09-2002""",164,1201
"=""09-2003""",164,1854
"=""09-2004""",164,598
"=""09-2005""",164,448
"=""09-2006""",164,453
"=""09-2007""",164,769
"=""09-2008""",164,937
"=""09-2009""",164,760
"=""09-2010""",164,272
"=""09-2011""",164,2011
"=""09-2012""",164,1235
"=""10-1995""",164,0
"=""10-1996""",164,0
"=""10-1997""",164,1799
"=""10-1998""",164,319
"=""10-1999""",164,97
"=""10-2000""",164,0
"=""10-2001""",164,1146
"=""10-2002""",164,229
"=""10-2003""",164,2273
"=""10-2004""",164,0
"=""10-2005""",164,386
"=""10-2006""",164,0
"=""10-2007""",164,1257
"=""10-2008""",164,0
"=""10-2009""",164,586
"=""10-2010""",164,0
"=""10-2011""",164,2546
"=""10-2012""",164,0
"=""11-1995""",164,0
"=""11-1996""",164,0
"=""11-1997""",164,488
"=""11-1998""",164,0
"=""11-1999""",164,481
"=""11-2000""",164,0
"=""11-2001""",164,572
"=""11-2002""",164,210
"=""11-2003""",164,404
"=""11-2004""",164,0
"=""11-2005""",164,441
"=""11-2006""",164,0
"=""11-2007""",164,775
"=""11-2008""",164,0
"=""11-2009""",164,676
"=""11-2010""",164,0
"=""11-2011""",164,1867
"=""11-2012""",164,146
"=""12-1995""",164,0
"=""12-1996""",164,0
"=""12-1997""",164,0
"=""12-1998""",164,0
"=""12-1999""",164,0
"=""12-2000""",164,0
"=""12-2001""",164,897
"=""12-2002""",164,0
"=""12-2003""",164,670
"=""12-2004""",164,0
"=""12-2005""",164,170
"=""12-2006""",164,0
"=""12-2007""",164,193
"=""12-2008""",164,0
"=""12-2009""",164,0
"=""12-2010""",164,0
"=""12-2011""",164,1245
"=""12-2012""",164,0
"=""01-1995""",173,0
"=""01-1996""",173,0
"=""01-1997""",173,0
"=""01-1998""",173,0
"=""01-1999""",173,0
"=""01-2000""",173,0
"=""01-2001""",173,0
"=""01-2002""",173,0
"=""01-2003""",173,0
"=""01-2004""",173,0
"=""01-2005""",173,218
"=""01-2006""",173,136
"=""01-2007""",173,1039
"=""01-2008""",173,634
"=""01-2009""",173,1204
"=""01-2010""",173,103
"=""01-2011""",173,94
"=""01-2012""",173,185
"=""02-1995""",173,0
"=""02-1996""",173,0
"=""02-1997""",173,0
"=""02-1998""",173,0
"=""02-1999""",173,0
"=""02-2000""",173,0
"=""02-2001""",173,0
"=""02-2002""",173,269
"=""02-2003""",173,0
"=""02-2004""",173,0
"=""02-2005""",173,300
"=""02-2006""",173,1256
"=""02-2007""",173,1513
"=""02-2008""",173,1419
"=""02-2009""",173,1535
"=""02-2010""",173,1594
"=""02-2011""",173,1401
"=""02-2012""",173,845
"=""03-1995""",173,0
"=""03-1996""",173,0
"=""03-1997""",173,0
"=""03-1998""",173,0
"=""03-1999""",173,0
"=""03-2000""",173,0
"=""03-2001""",173,73
"=""03-2002""",173,0
"=""03-2003""",173,0
"=""03-2004""",173,0
"=""03-2005""",173,633
"=""03-2006""",173,2228
"=""03-2007""",173,2463
"=""03-2008""",173,920
"=""03-2009""",173,1211
"=""03-2010""",173,1477
"=""03-2011""",173,2185
"=""03-2012""",173,1101
"=""04-1995""",173,0
"=""04-1996""",173,0
"=""04-1997""",173,0
"=""04-1998""",173,0
"=""04-1999""",173,0
"=""04-2000""",173,0
"=""04-2001""",173,0
"=""04-2002""",173,0
"=""04-2003""",173,0
"=""04-2004""",173,0
"=""04-2005""",173,1113
"=""04-2006""",173,705
"=""04-2007""",173,4329
"=""04-2008""",173,4573
"=""04-2009""",173,1802
"=""04-2010""",173,1326
"=""04-2011""",173,1103
"=""04-2012""",173,1654
"=""05-1995""",173,0
"=""05-1996""",173,0
"=""05-1997""",173,0
"=""05-1998""",173,0
"=""05-1999""",173,0
"=""05-2000""",173,0
"=""05-2001""",173,0
"=""05-2002""",173,0
"=""05-2003""",173,0
"=""05-2004""",173,0
"=""05-2005""",173,832
"=""05-2006""",173,1040
"=""05-2007""",173,2252
"=""05-2008""",173,1622
"=""05-2009""",173,2096
"=""05-2010""",173,3049
"=""05-2011""",173,1424
"=""05-2012""",173,216
"=""06-1995""",173,0
"=""06-1996""",173,0
"=""06-1997""",173,0
"=""06-1998""",173,0
"=""06-1999""",173,0
"=""06-2000""",173,0
"=""06-2001""",173,0
"=""06-2002""",173,0
"=""06-2003""",173,0
"=""06-2004""",173,0
"=""06-2005""",173,1413
"=""06-2006""",173,2066
"=""06-2007""",173,2738
"=""06-2008""",173,2997
"=""06-2009""",173,1028
"=""06-2010""",173,2282
"=""06-2011""",173,1333
"=""06-2012""",173,655
"=""07-1995""",173,0
"=""07-1996""",173,0
"=""07-1997""",173,0
"=""07-1998""",173,0
"=""07-1999""",173,0
"=""07-2000""",173,0
"=""07-2001""",173,0
"=""07-2002""",173,0
"=""07-2003""",173,0
"=""07-2004""",173,0
"=""07-2005""",173,512
"=""07-2006""",173,1110
"=""07-2007""",173,2096
"=""07-2008""",173,2667
"=""07-2009""",173,2635
"=""07-2010""",173,1610
"=""07-2011""",173,1395
"=""07-2012""",173,338
"=""08-1995""",173,0
"=""08-1996""",173,0
"=""08-1997""",173,0
"=""08-1998""",173,0
"=""08-1999""",173,0
"=""08-2000""",173,0
"=""08-2001""",173,0
"=""08-2002""",173,0
"=""08-2003""",173,0
"=""08-2004""",173,0
"=""08-2005""",173,0
"=""08-2006""",173,0
"=""08-2007""",173,477
"=""08-2008""",173,232
"=""08-2009""",173,0
"=""08-2010""",173,0
"=""08-2011""",173,0
"=""08-2012""",173,1019
"=""09-1995""",173,0
"=""09-1996""",173,0
"=""09-1997""",173,0
"=""09-1998""",173,0
"=""09-1999""",173,0
"=""09-2000""",173,0
"=""09-2001""",173,0
"=""09-2002""",173,0
"=""09-2003""",173,0
"=""09-2004""",173,0
"=""09-2005""",173,551
"=""09-2006""",173,1232
"=""09-2007""",173,2449
"=""09-2008""",173,3073
"=""09-2009""",173,2150
"=""09-2010""",173,1513
"=""09-2011""",173,376
"=""09-2012""",173,1486
"=""10-1995""",173,0
"=""10-1996""",173,0
"=""10-1997""",173,0
"=""10-1998""",173,0
"=""10-1999""",173,0
"=""10-2000""",173,0
"=""10-2001""",173,0
"=""10-2002""",173,0
"=""10-2003""",173,0
"=""10-2004""",173,0
"=""10-2005""",173,1171
"=""10-2006""",173,0
"=""10-2007""",173,1918
"=""10-2008""",173,426
"=""10-2009""",173,1754
"=""10-2010""",173,0
"=""10-2011""",173,922
"=""10-2012""",173,0
"=""11-1995""",173,0
"=""11-1996""",173,0
"=""11-1997""",173,0
"=""11-1998""",173,0
"=""11-1999""",173,0
"=""11-2000""",173,0
"=""11-2001""",173,0
"=""11-2002""",173,0
"=""11-2003""",173,0
"=""11-2004""",173,0
"=""11-2005""",173,842
"=""11-2006""",173,0
"=""11-2007""",173,888
"=""11-2008""",173,0
"=""11-2009""",173,570
"=""11-2010""",173,0
"=""11-2011""",173,1160
"=""11-2012""",173,632
"=""12-1995""",173,0
"=""12-1996""",173,0
"=""12-1997""",173,0
"=""12-1998""",173,0
"=""12-1999""",173,0
"=""12-2000""",173,0
"=""12-2001""",173,0
"=""12-2002""",173,0
"=""12-2003""",173,0
"=""12-2004""",173,0
"=""12-2005""",173,0
"=""12-2006""",173,0
"=""12-2007""",173,156
"=""12-2008""",173,0
"=""12-2009""",173,1206
"=""12-2010""",173,0
"=""12-2011""",173,1618
"=""12-2012""",173,614
"=""01-1995""",176,0
"=""01-1996""",176,0
"=""01-1997""",176,0
"=""01-1998""",176,0
"=""01-1999""",176,0
"=""01-2000""",176,0
"=""01-2001""",176,0
"=""01-2002""",176,0
"=""01-2003""",176,0
"=""01-2004""",176,0
"=""01-2005""",176,0
"=""01-2006""",176,0
"=""01-2007""",176,0
"=""01-2008""",176,0
"=""01-2009""",176,0
"=""01-2010""",176,0
"=""01-2011""",176,0
"=""01-2012""",176,94
"=""02-1995""",176,0
"=""02-1996""",176,0
"=""02-1997""",176,0
"=""02-1998""",176,0
"=""02-1999""",176,0
"=""02-2000""",176,0
"=""02-2001""",176,0
"=""02-2002""",176,0
"=""02-2003""",176,0
"=""02-2004""",176,0
"=""02-2005""",176,0
"=""02-2006""",176,0
"=""02-2007""",176,0
"=""02-2008""",176,0
"=""02-2009""",176,0
"=""02-2010""",176,0
"=""02-2011""",176,0
"=""02-2012""",176,0
"=""03-1995""",176,0
"=""03-1996""",176,0
"=""03-1997""",176,0
"=""03-1998""",176,0
"=""03-1999""",176,0
"=""03-2000""",176,0
"=""03-2001""",176,0
"=""03-2002""",176,0
"=""03-2003""",176,0
"=""03-2004""",176,0
"=""03-2005""",176,0
"=""03-2006""",176,0
"=""03-2007""",176,0
"=""03-2008""",176,0
"=""03-2009""",176,0
"=""03-2010""",176,0
"=""03-2011""",176,0
"=""03-2012""",176,0
"=""04-1995""",176,0
"=""04-1996""",176,0
"=""04-1997""",176,0
"=""04-1998""",176,0
"=""04-1999""",176,0
"=""04-2000""",176,0
"=""04-2001""",176,0
"=""04-2002""",176,0
"=""04-2003""",176,0
"=""04-2004""",176,224
"=""04-2005""",176,0
"=""04-2006""",176,0
"=""04-2007""",176,0
"=""04-2008""",176,0
"=""04-2009""",176,0
"=""04-2010""",176,0
"=""04-2011""",176,0
"=""04-2012""",176,0
"=""05-1995""",176,0
"=""05-1996""",176,0
"=""05-1997""",176,0
"=""05-1998""",176,0
"=""05-1999""",176,265
"=""05-2000""",176,0
"=""05-2001""",176,0
"=""05-2002""",176,0
"=""05-2003""",176,0
"=""05-2004""",176,0
"=""05-2005""",176,0
"=""05-2006""",176,0
"=""05-2007""",176,0
"=""05-2008""",176,0
"=""05-2009""",176,63
"=""05-2010""",176,63
"=""05-2011""",176,0
"=""05-2012""",176,0
"=""06-1995""",176,0
"=""06-1996""",176,0
"=""06-1997""",176,177
"=""06-1998""",176,0
"=""06-1999""",176,0
"=""06-2000""",176,0
"=""06-2001""",176,0
"=""06-2002""",176,0
"=""06-2003""",176,0
"=""06-2004""",176,0
"=""06-2005""",176,0
"=""06-2006""",176,0
"=""06-2007""",176,0
"=""06-2008""",176,0
"=""06-2009""",176,0
"=""06-2010""",176,0
"=""06-2011""",176,0
"=""06-2012""",176,0
"=""07-1995""",176,0
"=""07-1996""",176,0
"=""07-1997""",176,0
"=""07-1998""",176,0
"=""07-1999""",176,0
"=""07-2000""",176,0
"=""07-2001""",176,0
"=""07-2002""",176,0
"=""07-2003""",176,0
"=""07-2004""",176,0
"=""07-2005""",176,0
"=""07-2006""",176,0
"=""07-2007""",176,0
"=""07-2008""",176,0
"=""07-2009""",176,218
"=""07-2010""",176,0
"=""07-2011""",176,0
"=""07-2012""",176,0
"=""08-1995""",176,0
"=""08-1996""",176,0
"=""08-1997""",176,0
"=""08-1998""",176,0
"=""08-1999""",176,0
"=""08-2000""",176,0
"=""08-2001""",176,0
"=""08-2002""",176,0
"=""08-2003""",176,0
"=""08-2004""",176,0
"=""08-2005""",176,0
"=""08-2006""",176,0
"=""08-2007""",176,0
"=""08-2008""",176,0
"=""08-2009""",176,0
"=""08-2010""",176,0
"=""08-2011""",176,0
"=""08-2012""",176,0
"=""09-1995""",176,0
"=""09-1996""",176,0
"=""09-1997""",176,195
"=""09-1998""",176,103
"=""09-1999""",176,0
"=""09-2000""",176,0
"=""09-2001""",176,0
"=""09-2002""",176,0
"=""09-2003""",176,0
"=""09-2004""",176,0
"=""09-2005""",176,0
"=""09-2006""",176,0
"=""09-2007""",176,0
"=""09-2008""",176,0
"=""09-2009""",176,0
"=""09-2010""",176,0
"=""09-2011""",176,0
"=""09-2012""",176,0
"=""10-1995""",176,0
"=""10-1996""",176,0
"=""10-1997""",176,0
"=""10-1998""",176,0
"=""10-1999""",176,95
"=""10-2000""",176,0
"=""10-2001""",176,0
"=""10-2002""",176,0
"=""10-2003""",176,0
"=""10-2004""",176,0
"=""10-2005""",176,0
"=""10-2006""",176,0
"=""10-2007""",176,0
"=""10-2008""",176,0
"=""10-2009""",176,0
"=""10-2010""",176,0
"=""10-2011""",176,0
"=""10-2012""",176,0
"=""11-1995""",176,0
"=""11-1996""",176,0
"=""11-1997""",176,308
"=""11-1998""",176,0
"=""11-1999""",176,0
"=""11-2000""",176,0
"=""11-2001""",176,0
"=""11-2002""",176,0
"=""11-2003""",176,0
"=""11-2004""",176,0
"=""11-2005""",176,0
"=""11-2006""",176,0
"=""11-2007""",176,0
"=""11-2008""",176,0
"=""11-2009""",176,0
"=""11-2010""",176,0
"=""11-2011""",176,0
"=""11-2012""",176,0
"=""12-1995""",176,0
"=""12-1996""",176,0
"=""12-1997""",176,0
"=""12-1998""",176,0
"=""12-1999""",176,0
"=""12-2000""",176,0
"=""12-2001""",176,0
"=""12-2002""",176,0
"=""12-2003""",176,0
"=""12-2004""",176,0
"=""12-2005""",176,0
"=""12-2006""",176,0
"=""12-2007""",176,194
"=""12-2008""",176,0
"=""12-2009""",176,0
"=""12-2010""",176,0
"=""12-2011""",176,0
"=""12-2012""",176,0
"=""01-1995""",182,0
"=""01-1996""",182,0
"=""01-1997""",182,0
"=""01-1998""",182,0
"=""01-1999""",182,0
"=""01-2000""",182,0
"=""01-2001""",182,0
"=""01-2002""",182,0
"=""01-2003""",182,0
"=""01-2004""",182,252
"=""01-2005""",182,165
"=""01-2006""",182,0
"=""01-2007""",182,1391
"=""01-2008""",182,0
"=""01-2009""",182,0
"=""01-2010""",182,409
"=""01-2011""",182,0
"=""01-2012""",182,186
"=""02-1995""",182,0
"=""02-1996""",182,0
"=""02-1997""",182,95
"=""02-1998""",182,0
"=""02-1999""",182,0
"=""02-2000""",182,0
"=""02-2001""",182,0
"=""02-2002""",182,0
"=""02-2003""",182,471
"=""02-2004""",182,872
"=""02-2005""",182,783
"=""02-2006""",182,469
"=""02-2007""",182,832
"=""02-2008""",182,677
"=""02-2009""",182,479
"=""02-2010""",182,976
"=""02-2011""",182,353
"=""02-2012""",182,889
"=""03-1995""",182,0
"=""03-1996""",182,0
"=""03-1997""",182,0
"=""03-1998""",182,0
"=""03-1999""",182,0
"=""03-2000""",182,0
"=""03-2001""",182,0
"=""03-2002""",182,0
"=""03-2003""",182,1073
"=""03-2004""",182,1289
"=""03-2005""",182,453
"=""03-2006""",182,750
"=""03-2007""",182,1198
"=""03-2008""",182,831
"=""03-2009""",182,1505
"=""03-2010""",182,1111
"=""03-2011""",182,1732
"=""03-2012""",182,1269
"=""04-1995""",182,0
"=""04-1996""",182,0
"=""04-1997""",182,0
"=""04-1998""",182,0
"=""04-1999""",182,0
"=""04-2000""",182,0
"=""04-2001""",182,0
"=""04-2002""",182,0
"=""04-2003""",182,367
"=""04-2004""",182,347
"=""04-2005""",182,578
"=""04-2006""",182,166
"=""04-2007""",182,236
"=""04-2008""",182,1146
"=""04-2009""",182,708
"=""04-2010""",182,228
"=""04-2011""",182,466
"=""04-2012""",182,1169
"=""05-1995""",182,0
"=""05-1996""",182,0
"=""05-1997""",182,0
"=""05-1998""",182,0
"=""05-1999""",182,0
"=""05-2000""",182,0
"=""05-2001""",182,0
"=""05-2002""",182,0
"=""05-2003""",182,514
"=""05-2004""",182,861
"=""05-2005""",182,390
"=""05-2006""",182,797
"=""05-2007""",182,1402
"=""05-2008""",182,614
"=""05-2009""",182,645
"=""05-2010""",182,624
"=""05-2011""",182,872
"=""05-2012""",182,368
"=""06-1995""",182,0
"=""06-1996""",182,0
"=""06-1997""",182,0
"=""06-1998""",182,0
"=""06-1999""",182,91
"=""06-2000""",182,0
"=""06-2001""",182,0
"=""06-2002""",182,0
"=""06-2003""",182,770
"=""06-2004""",182,350
"=""06-2005""",182,1151
"=""06-2006""",182,478
"=""06-2007""",182,1070
"=""06-2008""",182,227
"=""06-2009""",182,1109
"=""06-2010""",182,970
"=""06-2011""",182,934
"=""06-2012""",182,1027
"=""07-1995""",182,0
"=""07-1996""",182,0
"=""07-1997""",182,0
"=""07-1998""",182,0
"=""07-1999""",182,0
"=""07-2000""",182,0
"=""07-2001""",182,0
"=""07-2002""",182,0
"=""07-2003""",182,815
"=""07-2004""",182,337
"=""07-2005""",182,496
"=""07-2006""",182,219
"=""07-2007""",182,885
"=""07-2008""",182,684
"=""07-2009""",182,722
"=""07-2010""",182,247
"=""07-2011""",182,865
"=""07-2012""",182,668
"=""08-1995""",182,0
"=""08-1996""",182,198
"=""08-1997""",182,0
"=""08-1998""",182,0
"=""08-1999""",182,129
"=""08-2000""",182,0
"=""08-2001""",182,0
"=""08-2002""",182,0
"=""08-2003""",182,0
"=""08-2004""",182,0
"=""08-2005""",182,0
"=""08-2006""",182,106
"=""08-2007""",182,0
"=""08-2008""",182,0
"=""08-2009""",182,0
"=""08-2010""",182,0
"=""08-2011""",182,0
"=""08-2012""",182,201
"=""09-1995""",182,0
"=""09-1996""",182,0
"=""09-1997""",182,0
"=""09-1998""",182,0
"=""09-1999""",182,97
"=""09-2000""",182,0
"=""09-2001""",182,0
"=""09-2002""",182,0
"=""09-2003""",182,999
"=""09-2004""",182,0
"=""09-2005""",182,206
"=""09-2006""",182,577
"=""09-2007""",182,865
"=""09-2008""",182,667
"=""09-2009""",182,482
"=""09-2010""",182,380
"=""09-2011""",182,935
"=""09-2012""",182,399
"=""10-1995""",182,0
"=""10-1996""",182,0
"=""10-1997""",182,0
"=""10-1998""",182,0
"=""10-1999""",182,0
"=""10-2000""",182,0
"=""10-2001""",182,0
"=""10-2002""",182,0
"=""10-2003""",182,675
"=""10-2004""",182,0
"=""10-2005""",182,271
"=""10-2006""",182,0
"=""10-2007""",182,1367
"=""10-2008""",182,0
"=""10-2009""",182,572
"=""10-2010""",182,0
"=""10-2011""",182,1148
"=""10-2012""",182,0
"=""11-1995""",182,0
"=""11-1996""",182,0
"=""11-1997""",182,0
"=""11-1998""",182,0
"=""11-1999""",182,239
"=""11-2000""",182,0
"=""11-2001""",182,0
"=""11-2002""",182,0
"=""11-2003""",182,650
"=""11-2004""",182,0
"=""11-2005""",182,742
"=""11-2006""",182,0
"=""11-2007""",182,177
"=""11-2008""",182,0
"=""11-2009""",182,342
"=""11-2010""",182,435
"=""11-2011""",182,722
"=""11-2012""",182,453
"=""12-1995""",182,0
"=""12-1996""",182,0
"=""12-1997""",182,0
"=""12-1998""",182,0
"=""12-1999""",182,0
"=""12-2000""",182,0
"=""12-2001""",182,0
"=""12-2002""",182,0
"=""12-2003""",182,199
"=""12-2004""",182,0
"=""12-2005""",182,0
"=""12-2006""",182,230
"=""12-2007""",182,0
"=""12-2008""",182,0
"=""12-2009""",182,476
"=""12-2010""",182,0
"=""12-2011""",182,274
"=""12-2012""",182,229
"=""01-1995""",184,0
"=""01-1996""",184,0
"=""01-1997""",184,0
"=""01-1998""",184,0
"=""01-1999""",184,0
"=""01-2000""",184,0
"=""01-2001""",184,0
"=""01-2002""",184,321
"=""01-2003""",184,160
"=""01-2004""",184,321
"=""01-2005""",184,0
"=""01-2006""",184,0
"=""01-2007""",184,19
"=""01-2008""",184,0
"=""01-2009""",184,143
"=""01-2010""",184,0
"=""01-2011""",184,21
"=""01-2012""",184,0
"=""02-1995""",184,0
"=""02-1996""",184,0
"=""02-1997""",184,0
"=""02-1998""",184,0
"=""02-1999""",184,0
"=""02-2000""",184,678
"=""02-2001""",184,0
"=""02-2002""",184,863
"=""02-2003""",184,186
"=""02-2004""",184,1130
"=""02-2005""",184,511
"=""02-2006""",184,182
"=""02-2007""",184,620
"=""02-2008""",184,137
"=""02-2009""",184,565
"=""02-2010""",184,0
"=""02-2011""",184,402
"=""02-2012""",184,915
