Agcy Name,Org Name,Pborg Seq,Pborg Seq Managed By,Org Order,Location,Title,Name of Incumbent,Type of Appt,Pay Plan,Pay,Tenure,Expires,Pb Order
EXECUTIVE OFFICE OF THE PRESIDENT,Central and South Asian Affairs,40337,40332,280,"Washington, DC",Assistant United States Trade Representative for Central and South Asia,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Chief Agricultural Negotiator,40338,40332,290,"Washington, DC",Chief Agricultural Negotiator,Darci Lynn Vetter ,PAS,EX,III, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,China Affairs,40339,40332,300,"Washington, DC",Assistant United States Trade Representative for China Affairs,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,China Affairs,40339,40332,300,"Washington, DC",Assistant United States Trade Representative for China,Vacant,,ES,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,Office of Congressional Affairs,40340,40332,310,"Washington, DC",Assistant United States Trade Representative for Congressional Affairs,John Michael Harney ,NA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Office of Congressional Affairs,40340,40332,310,"Washington, DC",Deputy Assistant United States Representative for Congressional Affairs,Brigit Helgen ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Office of Congressional Affairs,40340,40332,310,"Washington, DC",Director for Congressional Affairs,Ari Giovenco ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Economic Affairs,40342,40332,330,"Washington, DC",Assistant United States Trade Representative for Trade Policy and Economics,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Environment and Natural Resources,40343,40332,340,"Washington, DC",Assistant United States Trade Representative for Environment and Natural Resources,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Europe and the Middle East,40344,40332,350,"Washington, DC",Assistant United States Trade Representative for Europe and the Middle East,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,General Counsel (United States Trade Representative),40345,40332,360,"Washington, DC",General Counsel,Timothy Mark Reif ,NA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,General Counsel (United States Trade Representative),40345,40332,360,"Washington, DC",Deputy General Counsel,Career Incumbent,CA,ES,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,General Counsel (United States Trade Representative),40345,40332,360,"Washington, DC",Chief Counsel for Legal Affairs,Vacant,,ES,, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,General Counsel (United States Trade Representative),40345,40332,360,"Washington, DC",Senior Counsel for Dispute Settlement,Career Incumbent,CA,ES,, ,,20
EXECUTIVE OFFICE OF THE PRESIDENT,Geneva,40346,40332,370,"Geneva, Switzerland",Deputy Chief of Mission-Geneva,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Innovation and Intellectual Property,40347,40332,380,"Washington, DC",Assistant United States Trade Representative for Intellectual Property and Innovation Rights,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Intergovernmental Affairs and Public Liaison,40348,40332,390,"Washington, DC",Assistant United States Trade Representative for Intergovernmental Affairs and Public Liaison,Vacant,,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Intergovernmental Affairs and Public Liaison,40348,40332,390,"Washington, DC",Assistant United States Trade Representative for Private Sector Engagement,Vacant,,ES,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,Intergovernmental Affairs and Public Liaison,40348,40332,390,"Washington, DC",Assistant United States Trade Representative for Private Sector Engagement,Meredith Ashley Jones ,NA,ES,, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,Intergovernmental Affairs and Public Liaison,40348,40332,390,"Washington, DC",Director for Private Sector Engagement,Max Oltersdorf ,SC,GS,9, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Intergovernmental Affairs and Public Liaison,40348,40332,390,"Washington, DC",Assistant United States Trade Representative for Intergovernmental Affairs and Public Engagement,Omar D. Khan ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,"Japan, Korea and Asia Pacific Economic Cooperation Affairs",40349,40332,400,"Washington, DC","Assistant United States Trade Representative for Japan, Korea, and APEC Affairs",Bruce R. Hirsch ,NA,AD,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Monitoring and Enforcement,40350,40332,410,"Washington, DC",Assistant United States Trade Representative for Monitoring and Enforcement,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Office of Agricultural Affairs and Commodity Policy,40390,40332,420,"Washington, DC",Special Assistant to the Chief Agricultural Negotiator,Gurwin Singh Ahuja ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Private Sector Engagement,40391,40332,430,"Washington, DC","Director for External Engagement, Intergovernmental Affairs, and Public Engagement",Alexandra T. Victor ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Public and Media Affairs,40388,40332,440,"Washington, DC",Digital Media Director,Jesse Overton ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Public and Media Affairs,40388,40332,440,"Washington, DC",Assistant United States Trade Representative for Public and Media Affairs,Matthew McAlvanah ,XS,AD,, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Public and Media Affairs,40388,40332,440,"Washington, DC",Deputy Assistant United States Trade Representative for Public and Media Affairs,Trevor Kincaid ,SC,GS,15, ,,
EXECUTIVE OFFICE OF THE PRESIDENT,Services and Investment,40352,40332,450,"Washington, DC",Assistant United States Trade Representative for Services and Investment,Vacant,,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Southeast Asia and Pacific,40353,40332,460,"Washington, DC",Assistant United States Trade Representative for Asia and the Pacific,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Textiles,40354,40332,470,"Washington, DC",Assistant United States Trade Representative for Textiles,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Trade Policy and Economics,40355,40332,480,"Washington, DC",Assistant United States Trade Representative for Policy Coordination Information,Vacant,,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,Western Hemisphere,40356,40332,490,"Washington, DC",Assistant United States Trade Representative for Western Hemisphere,Vacant,,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,World Trade Organization and Multilateral Affairs,40357,40332,500,"Washington, DC",Assistant United States Trade Representative for World Trade Offices and Multilateral Affairs,Career Incumbent,CA,ES,, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC","Director, Office of Science and Technology Policy",John Holdren ,PAS,EX,II, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Assistant to the President for Science and Technology,John Holdren ,PA,EX,II, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC","Associate Director, Science",Jo Handelsman ,PAS,EX,III, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC","Associate Director, Technology",Vacant,PAS,EX,III, ,,20
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Associate Director for Environment,Vacant,PAS,EX,III, ,,25
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Associate Director for National Security and International Affairs,Vacant,PAS,EX,III, ,,30
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Deputy Director for Homeland and National Security,Vacant,,ES,, ,,35
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Deputy Director for Technology and Innovation,Thomas Amadeus Kalil ,NA,ES,, ,,40
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Chief Technology Officer,Megan Joan Smith ,PA,EX,III, ,,45
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC","Principal Advisor for Energy, Transportation and Resources",Vacant,,ES,, ,,50
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Assistant Director for the Environment,Vacant,,ES,, ,,55
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC","General Counsel and Deputy to the Associate Director, Technology",Vacant,,ES,, ,,60
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",General Counsel,Career Incumbent,CA,ES,, ,,65
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Chief of Staff,Cristin Dorgelo ,NA,ES,, ,,70
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Deputy Chief of Staff and Assistant Director,Career Incumbent,CA,ES,, ,,75
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Legislative Affairs Director,Donna Marie Pignatelli ,SC,GS,15, ,,80
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Special Assistant,Matthew McAllister ,SC,GS,9, ,,85
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Executive Assistant,Billie E. McGrane ,SC,GS,12, ,,90
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Policy Advisor,Rebecca Lillian Grimm ,SC,GS,9, ,,95
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF SCIENCE AND TECHNOLOGY POLICY,40358,39780,510,"Washington, DC",Confidential Assistant,Lusine Galoyan ,SC,GS,9, ,,100
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Director,Michael P. Botticelli ,PAS,EX,I, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Deputy Director,Vacant,PA,EX,, ,,10
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Deputy Director for Supply Reduction,Vacant,PA,EX,, ,,15
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Deputy Director for State, Local, and Tribal Affairs",Mary Lou Leary ,PA,EX,III, ,,20
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Deputy Director for Demand Reduction,Vacant,PA,EX,, ,,25
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Associate Director, Heroin Task Force",Career Incumbent,CA,ES,, ,,30
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Associate Director, Office of Public Affairs",William David Jenkins ,SC,GS,15, ,,35
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Associate Director, Legislative Affairs",Vacant,,ES,, ,,40
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Associate Director for Intergovernmental Public Affairs,Dalen anderson Harris ,SC,GS,15, ,,45
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Associate Director, Management and Administration",Career Incumbent,CA,ES,, ,,50
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Associate Director for Research/Data Analysis,Career Incumbent,CA,ES,, ,,55
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Deputy Associate Director, Management and Administration",Career Incumbent,CA,ES,, ,,60
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Chief of Staff,Regina Marie Labelle ,NA,ES,, ,,65
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Deputy Chief of Staff,Career Incumbent,CA,ES,, ,,70
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Chief Policy Advisor,Career Incumbent,CA,ES,, ,,75
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",General Counsel,Jeffrey Jonathan Teitz ,NA,ES,, ,,80
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC","Director, High Intensity Drug Trafficking Areas",Vacant,,ES,, ,,85
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Legislative Analyst,Joseph Honesto Apilado Banez ,SC,GS,12, ,,90
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Policy Advisor,Jose L. Melero ,SC,GS,12, ,,95
EXECUTIVE OFFICE OF THE PRESIDENT,OFFICE OF NATIONAL DRUG CONTROL POLICY,40333,39780,520,"Washington, DC",Digital Engagement Specialist,Carly Paige Abenstein ,SC,GS,7, ,,100
EXECUTIVE OFFICE OF THE PRESIDENT,NATIONAL SECURITY COUNCIL,40359,39780,530,"Washington, DC",Executive Secretary,Suzanne George ,PA,EX,IV, ,,5
EXECUTIVE OFFICE OF THE PRESIDENT,EXECUTIVE OFFICE OF THE PRESIDENT,39780,,,,,,,,,,,
